trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount
550,CPO,t,12736,2012,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,64
430,Used,f,114004,2004,unsp,4.3,Gasoline,Pac,unsp,Alloy,unsp,54
550,CPO,t,33073,2012,Black,4.6,Gasoline,SoA,Harman Kardon,Alloy,18,73
550,New,f,10,2014,Blue,4.6,Gasoline,New,unsp,Alloy,18,82
550,New,f,9,2015,Red,4.6,Gasoline,New,unsp,Alloy,18,105
63,New,f,8,2015,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,2
550,Used,t,60755,2007,unsp,5.5,Gasoline,Pac,unsp,Alloy,unsp,77
63,New,f,91,2013,White,5.5,Gasoline,Pac,Harman Kardon,unsp,unsp,35
550,Used,f,13200,2013,Black,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,60
63,New,f,18,2015,Black,5.5,Gasoline,Mid,unsp,unsp,unsp,4
550,New,f,7,2013,Black,4.6,Gasoline,Pac,Premium,Premium,unsp,58
550,New,f,50,2012,Black,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,89
550,CPO,t,15756,2013,Silver,4.6,Gasoline,Pac,Harman Kardon,Alloy,unsp,75
unsp,New,f,12,2015,Blue,4.7,Gasoline,New,Premium,Alloy,unsp,76
550,CPO,f,5120,2014,Silver,4.6,Gasoline,SoA,Premium,Alloy,20,126
430,Used,f,93262,2000,Black,4.3,Gasoline,SoA,unsp,Alloy,unsp,56
430,Used,f,104470,2003,Blue,4.3,Gasoline,New,unsp,unsp,unsp,5
550,Used,f,83206,2012,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,74
550,Used,f,26496,2012,Black,4.6,Gasoline,ENC,unsp,unsp,unsp,31
550,New,f,10,2013,unsp,4.6,Gasoline,Mid,Premium,Alloy,unsp,61
65,CPO,f,23702,2013,Beige,6,Gasoline,Mtn,Premium,unsp,unsp,82
550,New,f,9,2015,Black,4.6,Gasoline,ENC,unsp,unsp,19,18
55,Used,f,131142,2002,Silver,5.4,Gasoline,SoA,unsp,unsp,unsp,0
550,CPO,t,32617,2011,White,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,79
550,New,f,837,2014,Black,4.6,Gasoline,Mid,unsp,unsp,unsp,51
550,Used,f,124801,2007,White,5.5,Gasoline,SoA,unsp,Alloy,unsp,39
550,New,f,51,2015,Black,4.6,Gasoline,ESC,unsp,Premium,unsp,12
550,Used,f,41230,2007,Gray,5.5,Gasoline,ENC,unsp,Alloy,unsp,76
550,Used,f,18333,2013,unsp,4.6,Gasoline,SoA,Premium,Alloy,unsp,62
550,Used,f,65995,2007,Gray,5.5,Gasoline,Mtn,Premium,unsp,unsp,31
550,Used,f,25522,2011,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,18,36
550,New,f,1,2015,Black,4.6,Gasoline,Mid,Premium,Alloy,18,74
550,New,f,22255,2013,White,4.6,Gasoline,ESC,Premium,Alloy,unsp,63
63,Used,f,59971,2008,unsp,6.3,Gasoline,SoA,unsp,unsp,unsp,2
550,New,f,14,2014,Silver,4.6,Gasoline,SoA,Premium,unsp,unsp,67
550,Used,f,61103,2009,Red,5.5,Gasoline,ENC,unsp,unsp,unsp,17
550,Used,f,86725,2009,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,18,60
550,Used,f,18530,2008,White,5.5,Gasoline,Pac,Premium,Alloy,unsp,64
550,New,f,5,2014,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,0
550,Used,f,78270,2008,Gray,5.5,Gasoline,WSC,Harman Kardon,unsp,unsp,51
65,Used,f,58142,2007,Black,6,Gasoline,WSC,Premium,unsp,unsp,47
550,CPO,t,36255,2011,Black,5.5,Gasoline,SoA,unsp,Alloy,unsp,79
550,New,f,5,2015,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0
430,Used,f,106022,2000,Black,4.3,Gasoline,Mid,unsp,Alloy,unsp,21
550,New,f,8,2015,Black,4.6,Gasoline,Pac,unsp,unsp,18,83
550,Used,f,66427,2007,White,5.5,Gasoline,SoA,Premium,Alloy,unsp,54
550,Used,f,56069,2007,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,57
65,Used,f,13071,2007,Black,6,Gasoline,Mtn,unsp,unsp,unsp,1
63,Used,f,40260,2012,Black,5.5,Gasoline,Pac,Bang Olufsen,Alloy,unsp,75
550,CPO,f,30505,2013,Silver,4.6,Gasoline,Pac,Premium,Alloy,unsp,82
550,New,f,10,2014,White,4.6,Gasoline,WSC,unsp,unsp,unsp,0
550,CPO,f,14947,2013,Black,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,74
320,Used,f,249000,1997,Black,3.2,Gasoline,SoA,unsp,unsp,unsp,1
430,Used,f,88585,2002,Silver,4.3,Gasoline,WNC,unsp,Alloy,unsp,52
550,New,f,6,2014,Blue,4.6,Gasoline,Mid,unsp,unsp,unsp,25
550,New,f,18,2014,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,1
550,New,f,6,2015,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,1
500,Used,f,109692,2000,Silver,5,Gasoline,Pac,unsp,Alloy,unsp,20
550,Used,f,51948,2010,Black,5.5,Gasoline,SoA,unsp,unsp,18,38
550,Used,f,88748,2007,Black,5.5,Gasoline,WSC,Premium,Alloy,unsp,61
350,Used,f,33166,2013,Blue,3,Diesel,SoA,Premium,Alloy,unsp,69
430,Used,f,111318,2003,Silver,4.3,Gasoline,SoA,unsp,unsp,unsp,28
550,Used,t,105000,2011,Black,5.5,Gasoline,Mid,Premium,unsp,unsp,45
550,New,f,25,2014,Silver,4.6,Gasoline,Pac,Premium,Alloy,unsp,65
550,New,f,9,2015,Black,4.6,Gasoline,ENC,Premium,Alloy,unsp,65
550,Used,f,128378,2007,White,5.5,Gasoline,Pac,unsp,Alloy,unsp,49
600,Used,f,65295,2005,Black,5.5,Gasoline,SoA,unsp,Alloy,18,48
550,Used,t,26955,2008,Black,5.5,Gasoline,WSC,Premium,Alloy,unsp,39
550,CPO,f,7916,2012,Black,4.6,Gasoline,Mid,Premium,Alloy,18,74
350,CPO,f,19769,2012,Black,3,Diesel,Pac,unsp,unsp,unsp,17
430,Used,f,124595,2001,Black,4.3,Gasoline,Pac,unsp,unsp,unsp,7
430,Used,f,143627,2004,Gray,4.3,Gasoline,SoA,unsp,Alloy,unsp,51
500,Used,f,157312,2005,Silver,5,Gasoline,SoA,unsp,Alloy,unsp,52
63,New,f,8,2015,White,5.5,Gasoline,Pac,unsp,unsp,20,72
550,New,f,12,2015,Blue,4.6,Gasoline,WSC,unsp,unsp,unsp,0
550,New,f,10,2015,Silver,4.7,unsp,Pac,unsp,unsp,unsp,1
500,Used,f,70215,2001,Black,5,Gasoline,Pac,Premium,Alloy,unsp,25
400,Used,f,17765,2013,Black,3.5,Hybrid,SoA,Harman Kardon,Alloy,unsp,52
550,New,f,5,2015,Black,4.6,Gasoline,ENC,Premium,Alloy,unsp,52
550,New,f,6,2015,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,0
550,Used,f,16995,2013,Black,4.6,Gasoline,WSC,unsp,Alloy,unsp,60
550,New,f,12,2014,White,4.6,Gasoline,Pac,unsp,unsp,unsp,1
550,Used,f,89314,2007,Gold,5.5,Gasoline,Pac,unsp,unsp,unsp,0
550,Used,f,50808,2008,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,80
550,New,f,15,2015,White,4.6,Gasoline,Mid,Premium,Alloy,unsp,64
550,Used,f,45631,2012,Silver,4.6,Gasoline,ESC,unsp,Alloy,unsp,69
550,Used,f,95338,2007,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,0
550,New,f,45,2014,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,0
550,Used,f,56910,2009,Blue,5.5,Gasoline,Mid,unsp,unsp,unsp,6
550,Used,t,61713,2008,Gray,5.5,Gasoline,ENC,Premium,Alloy,unsp,50
500,Used,f,119436,2000,Silver,5,Gasoline,SoA,Premium,Alloy,unsp,55
500,Used,f,118641,2000,Silver,5,Gasoline,Mid,unsp,Alloy,unsp,23
500,Used,f,173386,2000,Black,5,Gasoline,SoA,unsp,unsp,unsp,33
550,New,f,7,2015,White,4.6,Gasoline,Mtn,Premium,Alloy,unsp,68
550,Used,f,68839,2011,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,62
550,Used,t,100452,2008,Black,5.5,Gasoline,SoA,unsp,Alloy,unsp,13
550,Used,f,77339,2007,Silver,5.5,Gasoline,SoA,unsp,Alloy,unsp,45
550,New,f,9,2015,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,67
500,Used,f,92870,2000,Gold,5,Gasoline,ESC,unsp,Alloy,unsp,22
550,Used,f,102457,2007,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,0
550,CPO,t,27383,2013,Black,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,96
550,New,f,14,2014,unsp,4.6,Gasoline,Mtn,unsp,unsp,19,9
550,Used,f,80123,2007,Black,5.5,Gasoline,Mid,Premium,Alloy,unsp,54
550,Used,f,99555,2007,Blue,5.5,Gasoline,SoA,Premium,unsp,unsp,37
550,New,f,12,2015,Silver,4.7,Gasoline,SoA,unsp,unsp,unsp,95
350,Used,f,15520,2012,Silver,3,Diesel,WSC,Harman Kardon,Alloy,unsp,61
550,New,f,32,2015,Black,4.7,Gasoline,Mid,Premium,Alloy,20,78
550,New,f,6,2015,Black,4.6,Gasoline,Mid,unsp,unsp,unsp,30
600,Used,f,89950,2007,Gray,5.5,Gasoline,SoA,unsp,unsp,unsp,55
550,CPO,t,14220,2013,White,4.6,Gasoline,WSC,Premium,Alloy,unsp,70
550,Used,f,38314,2007,Black,5.5,Gasoline,Mtn,Premium,unsp,unsp,56
550,Used,f,54379,2008,Silver,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,43
550,Used,f,37535,2013,Silver,4.6,Gasoline,SoA,Premium,Premium,unsp,57
320,Used,f,93128,1999,Silver,3.2,Gasoline,WNC,Premium,Alloy,unsp,44
550,New,f,17,2015,Blue,4.6,Gasoline,ENC,unsp,unsp,19,15
500,Used,f,147323,2006,Beige,5,Gasoline,WSC,unsp,unsp,unsp,58
550,Used,t,39688,2011,Black,5.5,Gasoline,WSC,Harman Kardon,Alloy,unsp,73
550,New,f,6,2014,White,4.6,Gasoline,Pac,unsp,unsp,unsp,0
550,CPO,f,45846,2011,Black,5.5,Gasoline,SoA,Premium,Alloy,20,71
550,New,f,21,2014,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,66
550,CPO,t,25813,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,73
550,New,f,5,2014,Blue,4.6,Gasoline,Mid,unsp,unsp,unsp,18
550,Used,t,13761,2013,Silver,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,92
550,CPO,f,12981,2014,White,4.6,Gasoline,Pac,unsp,unsp,20,79
550,Used,f,27469,2013,Black,4.6,Gasoline,Mtn,Premium,unsp,unsp,48
550,Used,f,70765,2007,Gray,5.5,Gasoline,SoA,Premium,Alloy,unsp,46
550,New,f,5,2014,Black,4.6,Gasoline,Pac,unsp,Alloy,unsp,31
550,Used,f,37727,2011,Black,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,72
550,CPO,f,23578,2012,Black,4.6,Gasoline,ESC,Harman Kardon,Alloy,18,105
550,New,f,11,2015,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,61
430,Used,f,53375,2000,Silver,4.3,Gasoline,New,Premium,unsp,unsp,47
500,Used,f,116500,2004,Black,5,Gasoline,SoA,Premium,unsp,unsp,49
350,Used,f,16425,2012,Black,3,Diesel,SoA,Harman Kardon,Alloy,18,79
550,Used,t,15887,2012,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,22
600,Used,f,75810,2007,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,29
unsp,New,f,12,2015,Black,6,unsp,Mid,unsp,unsp,20,6
550,New,f,1,2014,Black,4.6,Gasoline,New,unsp,unsp,unsp,54
550,Used,f,21133,2011,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,0
550,Used,f,38873,2011,unsp,5.5,Gasoline,SoA,unsp,unsp,unsp,31
550,New,f,9,2015,Black,4.6,Gasoline,Pac,unsp,unsp,unsp,81
430,Used,f,137756,2002,White,4.3,Gasoline,Pac,unsp,unsp,unsp,5
500,Used,f,119318,1998,Blue,5,Gasoline,Mid,unsp,Alloy,unsp,22
550,New,f,180,2014,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,20
550,CPO,f,22744,2012,White,4.6,Gasoline,WNC,unsp,Alloy,unsp,91
550,New,f,9,2015,Silver,4.6,Gasoline,Mtn,Premium,Alloy,19,72
550,Used,t,28629,2008,Black,5.5,Gasoline,Mid,Premium,Alloy,unsp,67
550,Used,f,47875,2010,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,31
550,CPO,f,711,2014,Black,4.6,Gasoline,New,unsp,unsp,unsp,17
430,Used,f,104334,2002,Black,4.3,Gasoline,ENC,Bose,Chrome,unsp,51
550,Used,f,96226,2007,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,0
550,Used,f,2008,2012,unsp,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,89
550,New,f,423,2015,Black,4.6,Gasoline,Pac,Premium,Alloy,18,79
550,Used,f,88796,2007,Black,5.5,Gasoline,Pac,unsp,Alloy,unsp,45
550,Used,f,83183,2008,Gray,5.5,Gasoline,Pac,unsp,unsp,unsp,18
550,CPO,f,26301,2012,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,71
550,Used,f,38523,2010,Blue,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,66
550,CPO,t,30073,2012,Silver,4.6,Gasoline,ESC,Harman Kardon,Alloy,18,93
550,New,f,25,2015,Black,4.6,Gasoline,Pac,unsp,unsp,20,12
unsp,New,f,7,2015,Black,4.7,Gasoline,Mtn,unsp,unsp,unsp,9
430,Used,f,71824,2002,Silver,4.3,Gasoline,ENC,Bose,Alloy,unsp,46
500,Used,f,45432,2006,Beige,5,Gasoline,Pac,unsp,Alloy,unsp,51
63,New,f,16,2015,unsp,5.5,Gasoline,WSC,unsp,unsp,unsp,65
63,New,f,16,2015,Blue,5.5,Gasoline,Pac,unsp,unsp,20,72
550,New,f,12,2015,Gray,4.6,Gasoline,SoA,unsp,unsp,unsp,1
550,Used,f,4781,2015,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,0
63,Used,t,35494,2010,Silver,6.3,Gasoline,SoA,unsp,Alloy,unsp,34
550,Used,f,59929,2010,Blue,5.5,Gasoline,SoA,Harman Kardon,unsp,19,35
550,Used,f,33684,2007,White,5.5,Gasoline,SoA,Harman Kardon,Alloy,unsp,58
550,Used,f,127321,2007,Gray,5.5,Gasoline,ENC,unsp,unsp,unsp,16
550,New,f,67,2014,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,70
550,New,f,1,2015,Black,4.6,Gasoline,Mid,Premium,Alloy,18,81
600,Used,f,54106,2007,Silver,5.5,Gasoline,WNC,Premium,Alloy,unsp,55
500,Used,f,121457,2001,Silver,5,Gasoline,New,unsp,Alloy,unsp,19
500,Used,f,52363,2003,White,5,Gasoline,WNC,Premium,Alloy,unsp,47
320,Used,f,197512,1995,Silver,3.2,Gasoline,SoA,unsp,unsp,unsp,1
550,New,f,7,2015,White,4.6,Gasoline,WNC,Premium,Alloy,unsp,57
unsp,New,f,5,2015,Silver,4.6,unsp,SoA,unsp,unsp,unsp,59
550,Used,f,12068,2010,Silver,5.5,Gasoline,WSC,Harman Kardon,Alloy,18,58
550,Used,f,77096,2007,Gray,5.5,Gasoline,ENC,Harman Kardon,Alloy,unsp,70
550,CPO,f,16665,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,unsp,64
350,Used,f,116804,2006,Black,3.7,Gasoline,Pac,unsp,Alloy,unsp,9
550,Used,f,56006,2007,Red,5.5,Gasoline,Mid,Harman Kardon,Alloy,unsp,66
550,CPO,f,49257,2010,Black,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,76
550,CPO,f,13901,2010,Black,5.5,Gasoline,Mid,unsp,unsp,unsp,13
65,New,f,18,2015,Black,6,Gasoline,Pac,unsp,unsp,20,7
550,Used,f,58045,2007,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,48
550,New,f,15,2015,White,4.7,Gasoline,ENC,unsp,unsp,19,98
550,CPO,t,29033,2011,White,5.5,Gasoline,SoA,unsp,unsp,unsp,45
550,Used,f,60023,2007,Black,5.5,Gasoline,Mid,unsp,unsp,unsp,0
550,Used,f,57500,2009,Gray,5.5,Gasoline,ENC,unsp,Premium,unsp,25
430,Used,f,112789,2005,Silver,4.3,Gasoline,Mtn,unsp,unsp,unsp,5
550,Used,f,50491,2008,Silver,5.5,Gasoline,WSC,Harman Kardon,Chrome,unsp,55
550,New,f,7,2015,Silver,4.6,Gasoline,Mid,Premium,unsp,unsp,77
550,New,f,12,2015,Black,4.6,Gasoline,WNC,unsp,unsp,unsp,0
550,New,f,25,2015,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,66
550,Used,t,20454,2008,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,36
550,Used,t,39899,2012,Black,4.6,Gasoline,SoA,Premium,Alloy,18,73
550,New,f,16,2015,Black,4.7,Gasoline,SoA,Premium,Alloy,20,68
550,CPO,f,31945,2012,Black,4.6,Gasoline,SoA,Harman Kardon,unsp,unsp,12
550,New,f,11,2015,Blue,4.6,Gasoline,Mid,Premium,Alloy,unsp,66
550,Used,f,37356,2010,Black,5.5,Gasoline,SoA,unsp,unsp,unsp,14
550,New,f,10,2015,unsp,4.6,Gasoline,Mtn,Premium,unsp,unsp,74
550,CPO,t,35065,2012,Black,4.6,Gasoline,Pac,unsp,Alloy,unsp,25
550,CPO,t,18852,2012,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,72
500,Used,f,138791,2001,Silver,5,Gasoline,Mtn,unsp,Alloy,unsp,33
550,New,f,30,2014,White,4.6,Gasoline,Pac,unsp,unsp,unsp,1
550,New,f,44,2015,unsp,4.6,Gasoline,Pac,unsp,unsp,unsp,79
550,Used,f,3091,2014,White,4.6,Gasoline,SoA,Premium,unsp,unsp,88
550,New,f,8,2015,Black,4.6,Gasoline,WSC,Premium,Alloy,unsp,66
600,Used,f,145245,1998,Black,6,Gasoline,ESC,unsp,Alloy,unsp,35
550,Used,t,41772,2010,Gray,5.5,Gasoline,SoA,Premium,Alloy,18,78
550,CPO,f,26245,2011,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,19
550,New,f,9,2015,White,4.6,Gasoline,WSC,unsp,unsp,unsp,2
550,New,f,9,2015,Silver,4.6,Gasoline,Mid,Premium,unsp,unsp,76
550,CPO,t,6910,2013,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,74
550,Used,t,46776,2008,Silver,5.5,Gasoline,Mid,Harman Kardon,unsp,unsp,78
550,New,f,10,2015,Silver,4.6,Gasoline,SoA,Premium,Alloy,unsp,58
550,Used,f,81145,2007,Silver,5.5,Gasoline,SoA,unsp,unsp,unsp,0
550,New,f,5,2015,Blue,4.6,Gasoline,Pac,unsp,unsp,unsp,1
550,Used,f,90669,2007,Silver,5.5,Gasoline,ESC,unsp,unsp,unsp,5
550,Used,f,20599,2013,Black,4.6,Gasoline,ENC,Harman Kardon,Alloy,unsp,73
550,New,f,8,2015,unsp,4.6,Gasoline,Pac,Premium,unsp,unsp,72
550,New,f,10,2015,Silver,4.6,Gasoline,New,unsp,unsp,19,12
550,New,f,16,2015,White,4.6,Gasoline,Mid,Premium,Alloy,unsp,68
550,CPO,f,31524,2011,Silver,5.5,Gasoline,Mid,Premium,Alloy,unsp,63
550,New,f,8,2015,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,2
63,CPO,f,4078,2012,Black,5.5,Gasoline,New,unsp,Alloy,unsp,34
550,Used,f,96024,2008,Silver,5.5,Gasoline,WSC,Premium,Alloy,unsp,62
430,Used,f,125845,2001,White,4.3,Gasoline,SoA,unsp,Alloy,unsp,20
63,New,f,11,2015,White,5.5,Gasoline,Mid,Premium,Alloy,unsp,76
550,Used,f,31262,2012,Black,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,76
400,CPO,t,44070,2010,Gray,3.5,Hybrid,Pac,Harman Kardon,Alloy,unsp,68
550,New,f,10,2014,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,15
550,Used,f,688,2015,White,4.6,Gasoline,SoA,unsp,unsp,unsp,50
550,CPO,t,22797,2012,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,8
63,New,f,27,2015,Black,5.5,Gasoline,Mid,Premium,Alloy,unsp,70
550,New,f,6,2014,White,4.6,Gasoline,Pac,unsp,unsp,unsp,2
550,Used,f,10986,2011,White,5.5,Gasoline,SoA,unsp,unsp,unsp,4
500,Used,f,121815,2005,Black,5,Gasoline,SoA,Bose,Alloy,17,81
550,Used,f,34337,2010,Black,5.5,Gasoline,ESC,Premium,Alloy,unsp,71
550,Used,f,15367,2012,Black,4.6,Gasoline,SoA,Harman Kardon,Alloy,unsp,68
500,Used,f,144000,2000,Silver,5,Gasoline,Mid,Bose,Alloy,unsp,41
430,Used,f,100777,2006,Black,4.3,Gasoline,New,unsp,unsp,unsp,6
500,Used,f,195244,2000,Black,5,Gasoline,Mid,Premium,Alloy,unsp,52
550,Used,f,73021,2007,Green,5.5,Gasoline,Pac,Harman Kardon,Alloy,unsp,7
550,Used,t,77327,2007,Silver,5.5,Gasoline,WNC,Premium,Alloy,unsp,58
500,Used,f,95611,2004,Black,5,Gasoline,Mtn,Premium,unsp,unsp,39
550,CPO,f,12870,2013,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,75
550,Used,f,100,2015,White,4.7,Gasoline,SoA,Premium,unsp,unsp,37
550,New,f,11,2015,Black,4.6,Gasoline,WSC,Premium,unsp,unsp,88
550,Used,t,81965,2008,Gray,5.5,Gasoline,ENC,Harman Kardon,unsp,unsp,41
430,Used,f,130532,2003,Silver,4.3,Gasoline,WNC,Bose,Alloy,unsp,35
550,New,f,15,2015,Black,4.6,Gasoline,Mid,Premium,Alloy,18,74
550,New,f,8,2015,Silver,4.6,Gasoline,Pac,unsp,unsp,unsp,1
550,CPO,f,13965,2011,Gray,5.5,Gasoline,SoA,Premium,Alloy,unsp,72
